module,contributor,author,commentor,integrator,churn,entropy,size,p1,p2,p3,p4,p5,p6,p7,p8,top_iso,top_rso,top_tco,status
3089,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3090,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3091,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3092,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3093,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3094,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3095,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3096,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3097,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3098,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3099,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3100,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3101,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3102,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3103,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3104,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3105,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3106,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3107,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3108,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3109,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3110,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3111,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3112,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3113,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3114,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3115,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3116,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3117,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3118,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3119,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3120,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3121,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3122,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3123,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3124,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3125,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3126,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3127,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3128,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3129,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3130,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3131,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3132,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3133,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3134,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3135,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3136,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3137,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3138,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3139,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3140,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3141,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3142,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3143,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3144,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3145,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3146,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3147,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3148,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3149,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3150,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
3151,3,0,2,1,0,,0,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.000000,1.00000000000000000000,0.60000000000000000000,0.00000000000000000000,FALSE
