module,contributor,author,commentor,integrator,churn,entropy,size,p1,p2,p3,p4,p5,p6,p7,p8,top_iso,top_rso,top_tco,status
1803,11,0,11,1,0,,66,0.000000,0.000000,0.000000,0.090909,0.000000,0.000000,0.363636,0.545455,1.00000000000000000000,0.37837837837837837838,0.00000000000000000000,FALSE
1805,11,0,11,1,0,,60,0.000000,0.000000,0.000000,0.090909,0.000000,0.000000,0.363636,0.545455,1.00000000000000000000,0.37837837837837837838,0.00000000000000000000,FALSE
1806,11,0,11,1,0,,37,0.000000,0.000000,0.000000,0.090909,0.000000,0.000000,0.363636,0.545455,1.00000000000000000000,0.37837837837837837838,0.00000000000000000000,FALSE
1807,11,0,11,1,0,,16,0.000000,0.000000,0.000000,0.090909,0.000000,0.000000,0.363636,0.545455,1.00000000000000000000,0.37837837837837837838,0.00000000000000000000,FALSE
1808,11,0,11,1,0,,123,0.000000,0.000000,0.000000,0.090909,0.000000,0.000000,0.363636,0.545455,1.00000000000000000000,0.37837837837837837838,0.00000000000000000000,FALSE
1809,11,0,11,1,0,,16,0.000000,0.000000,0.000000,0.090909,0.000000,0.000000,0.363636,0.545455,1.00000000000000000000,0.37837837837837837838,0.00000000000000000000,FALSE
1810,11,1,11,1,57,0.169148,17,0.000000,0.000000,0.090909,0.000000,0.090909,0.000000,0.363636,0.454545,1.00000000000000000000,0.26061776061776061776,1.00000000000000000000,FALSE
1811,11,0,11,1,0,,17,0.000000,0.000000,0.000000,0.090909,0.000000,0.000000,0.363636,0.545455,1.00000000000000000000,0.37837837837837837838,0.00000000000000000000,FALSE
1812,11,0,11,1,0,,73,0.000000,0.000000,0.000000,0.090909,0.000000,0.000000,0.363636,0.545455,1.00000000000000000000,0.37837837837837837838,0.00000000000000000000,FALSE
1815,16,3,16,1,13,0.000000,27,0.000000,0.000000,0.062500,0.000000,0.187500,0.000000,0.187500,0.562500,1.00000000000000000000,0.19975332475332475332,0.84615384615384615385,FALSE
1816,11,0,11,1,0,,74,0.000000,0.000000,0.000000,0.090909,0.000000,0.000000,0.363636,0.545455,1.00000000000000000000,0.37837837837837837838,0.00000000000000000000,FALSE
1817,16,2,16,1,8,,349,0.000000,0.000000,0.062500,0.000000,0.125000,0.000000,0.187500,0.625000,1.00000000000000000000,0.25885885885885885886,0.50000000000000000000,FALSE
1818,11,0,11,1,0,,16,0.000000,0.000000,0.000000,0.090909,0.000000,0.000000,0.363636,0.545455,1.00000000000000000000,0.37837837837837837838,0.00000000000000000000,FALSE
1819,16,3,16,1,398,0.555736,185,0.000000,0.000000,0.062500,0.000000,0.187500,0.000000,0.250000,0.500000,1.00000000000000000000,0.19414414414414414414,0.50000000000000000000,FALSE
1820,16,2,16,1,8,0.000000,29,0.000000,0.000000,0.062500,0.000000,0.125000,0.000000,0.187500,0.625000,1.00000000000000000000,0.25885885885885885886,0.50000000000000000000,FALSE
1821,11,0,11,1,0,,209,0.000000,0.000000,0.000000,0.090909,0.000000,0.000000,0.363636,0.545455,1.00000000000000000000,0.37837837837837837838,0.00000000000000000000,FALSE
1827,11,0,11,1,0,,157,0.000000,0.000000,0.000000,0.090909,0.000000,0.000000,0.363636,0.545455,1.00000000000000000000,0.37837837837837837838,0.00000000000000000000,FALSE
1832,11,0,11,1,0,,0,0.000000,0.000000,0.000000,0.090909,0.000000,0.000000,0.363636,0.545455,1.00000000000000000000,0.37837837837837837838,0.00000000000000000000,FALSE
1836,9,3,9,2,4308,0.916639,8,0.111111,0.000000,0.111111,0.000000,0.222222,0.000000,0.222222,0.333333,0.66670000000000000000,0.28888888888888888889,0.33333333333333333333,FALSE
1839,10,3,10,2,1034,0.733660,40,0.100000,0.000000,0.100000,0.000000,0.200000,0.000000,0.100000,0.500000,0.66670000000000000000,0.28607918263090676884,0.33558994197292069632,FALSE
1840,10,3,10,2,231,,221,0.100000,0.000000,0.100000,0.000000,0.200000,0.000000,0.100000,0.500000,0.66670000000000000000,0.28607918263090676884,0.33333333333333333333,FALSE
1841,10,3,10,2,78,,26,0.100000,0.000000,0.100000,0.000000,0.200000,0.000000,0.100000,0.500000,0.66670000000000000000,0.28607918263090676884,0.33333333333333333333,FALSE
1842,10,3,10,2,108,0.691603,92,0.100000,0.000000,0.100000,0.000000,0.200000,0.000000,0.100000,0.500000,0.66670000000000000000,0.28607918263090676884,0.33333333333333333333,FALSE
1843,10,3,10,2,324,,178,0.100000,0.000000,0.100000,0.000000,0.200000,0.000000,0.100000,0.500000,0.66670000000000000000,0.28607918263090676884,0.33333333333333333333,FALSE
1844,10,3,10,2,579,0.409498,143,0.100000,0.000000,0.100000,0.000000,0.200000,0.000000,0.100000,0.500000,0.66670000000000000000,0.28607918263090676884,0.33333333333333333333,FALSE
1845,10,3,10,2,2883,0.927700,52,0.100000,0.000000,0.100000,0.000000,0.200000,0.000000,0.100000,0.500000,0.66670000000000000000,0.28607918263090676884,0.33333333333333333333,FALSE
1846,10,3,10,2,1299,0.568971,66,0.100000,0.000000,0.100000,0.000000,0.200000,0.000000,0.100000,0.500000,0.66670000000000000000,0.28607918263090676884,0.33333333333333333333,FALSE
1847,10,3,10,2,1305,0.722563,257,0.100000,0.000000,0.100000,0.000000,0.200000,0.000000,0.100000,0.500000,0.66670000000000000000,0.28607918263090676884,0.33333333333333333333,FALSE
1848,1,1,1,1,2,,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,FALSE
1849,8,1,4,4,54,0.962528,0,0.000000,0.000000,0.125000,0.375000,0.000000,0.125000,0.375000,0.000000,0.25000000000000000000,0.45000000000000000000,1.00000000000000000000,FALSE
1852,8,1,4,4,10,0.721928,235,0.000000,0.000000,0.125000,0.375000,0.000000,0.125000,0.375000,0.000000,0.25000000000000000000,0.45000000000000000000,1.00000000000000000000,FALSE
1854,8,1,4,4,58,,37,0.000000,0.000000,0.125000,0.375000,0.000000,0.125000,0.375000,0.000000,0.25000000000000000000,0.45000000000000000000,1.00000000000000000000,FALSE
1857,8,1,4,4,4,,34,0.000000,0.000000,0.125000,0.375000,0.000000,0.125000,0.375000,0.000000,0.25000000000000000000,0.45000000000000000000,1.00000000000000000000,FALSE
1858,8,1,4,4,8,,99,0.000000,0.000000,0.125000,0.375000,0.000000,0.125000,0.375000,0.000000,0.25000000000000000000,0.45000000000000000000,1.00000000000000000000,FALSE
1865,5,1,5,1,480,0.282208,33,0.000000,0.000000,0.200000,0.000000,0.200000,0.000000,0.600000,0.000000,1.00000000000000000000,0.35714285714285714286,1.00000000000000000000,FALSE
1869,8,0,7,2,0,,2,0.000000,0.000000,0.125000,0.125000,0.000000,0.000000,0.625000,0.125000,0.66670000000000000000,0.25000000000000000000,0.00000000000000000000,FALSE
1870,10,3,9,1,105,0.746561,38,0.000000,0.000000,0.100000,0.000000,0.200000,0.100000,0.400000,0.200000,1.00000000000000000000,0.22506393861892583120,0.61904761904761904762,FALSE
1872,5,1,5,1,454,0.789494,24,0.000000,0.000000,0.200000,0.000000,0.200000,0.000000,0.600000,0.000000,1.00000000000000000000,0.35294117647058823529,1.00000000000000000000,FALSE
1874,6,1,6,1,2227,0.763928,6,0.000000,0.000000,0.166667,0.000000,0.166667,0.000000,0.666667,0.000000,1.00000000000000000000,0.36842105263157894737,1.00000000000000000000,FALSE
