module,contributor,author,commentor,integrator,churn,entropy,p1,p2,p3,p4,p5,p6,p7,p8,top_iso,top_rso,top_tco
1311,19,6,19,2,6640,0.472883,0.000000,0.000000,0.052632,0.052632,0.052632,0.000000,0.210526,0.631579,0.90000000000000000000,0.27919592115124550865,0.97575301204819277108
1312,54,16,52,4,5464,0.266110,0.000000,0.000000,0.018519,0.000000,0.000000,0.055556,0.092593,0.833333,0.90910000000000000000,0.12250901754335668608,0.44765739385065885798
1313,59,15,57,6,7595,0.676947,0.000000,0.000000,0.033898,0.016949,0.033898,0.050847,0.050847,0.813559,0.84210000000000000000,0.14150871293139188583,0.43660302830809743252
1320,15,3,15,2,685,0.585571,0.000000,0.000000,0.066667,0.066667,0.133333,0.066667,0.133333,0.533333,0.80000000000000000000,0.30166666666666666667,0.76934306569343065693
1322,15,3,15,2,1157,0.614554,0.000000,0.000000,0.066667,0.066667,0.133333,0.066667,0.133333,0.533333,0.80000000000000000000,0.30166666666666666667,0.73120138288677614520
1324,12,2,12,2,2723,0.608736,0.000000,0.000000,0.166667,0.000000,0.083333,0.083333,0.250000,0.416667,0.80000000000000000000,0.28388888888888888889,0.72970987881013587954
1325,15,1,15,2,1382,0.527198,0.000000,0.000000,0.066667,0.066667,0.066667,0.000000,0.200000,0.600000,0.80000000000000000000,0.30166666666666666667,1.00000000000000000000
1332,15,3,14,2,62,0.740516,0.000000,0.000000,0.066667,0.066667,0.066667,0.000000,0.333333,0.466667,0.66670000000000000000,0.20833333333333333333,0.93548387096774193548
1333,18,3,18,1,29,0.583926,0.000000,0.000000,0.055556,0.000000,0.111111,0.055556,0.333333,0.444444,1.00000000000000000000,0.19000000000000000000,0.79310344827586206897
1335,8,3,8,1,32,0.448864,0.000000,0.000000,0.125000,0.000000,0.250000,0.125000,0.250000,0.250000,1.00000000000000000000,0.31011904761904761905,0.43750000000000000000
1336,21,5,21,1,193,\N,0.000000,0.000000,0.047619,0.000000,0.142857,0.000000,0.142857,0.666667,1.00000000000000000000,0.25708180708180708181,0.72020725388601036269
1337,12,2,12,1,21,0.591673,0.000000,0.000000,0.083333,0.000000,0.166667,0.000000,0.166667,0.583333,1.00000000000000000000,0.22222222222222222222,0.57142857142857142857
1346,33,7,31,1,60,0.898244,0.000000,0.000000,0.030303,0.000000,0.030303,0.121212,0.090909,0.727273,1.00000000000000000000,0.23640552995391705069,0.26666666666666666667
1348,24,5,23,1,37,0.935147,0.000000,0.000000,0.041667,0.000000,0.125000,0.083333,0.125000,0.625000,1.00000000000000000000,0.19625603864734299517,0.24324324324324324324
1349,4,1,4,1,2,\N,0.000000,0.000000,0.250000,0.000000,0.250000,0.000000,0.500000,0.000000,1.00000000000000000000,0.63636363636363636364,1.00000000000000000000
1351,4,1,4,1,8,1.000000,0.000000,0.000000,0.250000,0.000000,0.250000,0.000000,0.500000,0.000000,1.00000000000000000000,0.63636363636363636364,1.00000000000000000000
1353,4,1,4,1,2,\N,0.000000,0.000000,0.250000,0.000000,0.250000,0.000000,0.500000,0.000000,1.00000000000000000000,0.63636363636363636364,1.00000000000000000000
1355,4,1,4,1,4,1.000000,0.000000,0.000000,0.250000,0.000000,0.250000,0.000000,0.500000,0.000000,1.00000000000000000000,0.63636363636363636364,1.00000000000000000000
1357,27,5,26,2,38,0.899744,0.037037,0.000000,0.037037,0.000000,0.111111,0.037037,0.111111,0.666667,0.66670000000000000000,0.19464285714285714286,0.68421052631578947368
1358,27,5,26,2,57,0.999778,0.037037,0.000000,0.037037,0.000000,0.074074,0.000000,0.148148,0.703704,0.66670000000000000000,0.19464285714285714286,0.50877192982456140351
1359,25,4,23,1,109,0.689001,0.000000,0.000000,0.040000,0.000000,0.040000,0.040000,0.280000,0.600000,1.00000000000000000000,0.18690476190476190476,0.66055045871559633028
1360,10,2,10,1,224,0.530899,0.000000,0.000000,0.100000,0.000000,0.100000,0.000000,0.500000,0.300000,1.00000000000000000000,0.17857142857142857143,0.98660714285714285714
1361,29,5,28,1,33,0.799049,0.000000,0.000000,0.034483,0.000000,0.068966,0.103448,0.172414,0.620690,1.00000000000000000000,0.22494588744588744589,0.75757575757575757576
1362,23,3,22,1,34,0.672295,0.000000,0.000000,0.043478,0.000000,0.086957,0.043478,0.173913,0.652174,1.00000000000000000000,0.19673913043478260870,0.82352941176470588235
1363,43,8,42,5,84,0.929743,0.000000,0.000000,0.023256,0.093023,0.046512,0.069767,0.046512,0.720930,0.77780000000000000000,0.16901236313633443242,0.34523809523809523810
1364,28,5,27,2,202,0.580597,0.000000,0.000000,0.071429,0.000000,0.071429,0.000000,0.071429,0.785714,0.88890000000000000000,0.18498623832226977463,0.64356435643564356436
1365,19,2,19,1,84,0.951887,0.000000,0.000000,0.052632,0.000000,0.105263,0.000000,0.210526,0.631579,1.00000000000000000000,0.28279980888676540850,0.79761904761904761905
1367,34,7,34,4,1544,0.821010,0.000000,0.000000,0.058824,0.058824,0.000000,0.088235,0.117647,0.676471,0.70590000000000000000,0.16678761792616485565,0.71113989637305699482
1368,17,4,17,2,1048,0.134633,0.000000,0.000000,0.000000,0.117647,0.058824,0.000000,0.294118,0.529412,0.80000000000000000000,0.23305555555555555556,0.96374045801526717557
1369,35,10,34,4,114,0.789749,0.000000,0.000000,0.028571,0.085714,0.085714,0.000000,0.114286,0.685714,0.82350000000000000000,0.15619395929740757327,0.57017543859649122807
1370,26,6,25,5,1906,0.214038,0.038462,0.000000,0.038462,0.115385,0.115385,0.000000,0.076923,0.615385,0.80000000000000000000,0.16217390611673733271,0.44753410283315844701
1371,34,9,34,3,183,0.617311,0.000000,0.000000,0.058824,0.029412,0.058824,0.029412,0.058824,0.764706,0.85710000000000000000,0.15509968057814947767,0.62295081967213114754
1372,19,3,19,2,106,0.832946,0.000000,0.000000,0.052632,0.052632,0.105263,0.000000,0.263158,0.526316,0.75000000000000000000,0.20383963862224731790,0.73584905660377358491
1373,14,1,14,1,24,\N,0.000000,0.000000,0.000000,0.071429,0.071429,0.000000,0.285714,0.571429,1.00000000000000000000,0.31677018633540372671,1.00000000000000000000
1375,34,13,34,6,835,0.710528,0.000000,0.000000,0.029412,0.029412,0.029412,0.176471,0.147059,0.588235,0.80770000000000000000,0.15772843340234644582,0.26347305389221556886
1376,14,4,14,1,23,0.861132,0.000000,0.000000,0.071429,0.000000,0.214286,0.071429,0.285714,0.357143,1.00000000000000000000,0.24682539682539682540,0.43478260869565217391
1377,15,4,15,2,19,0.764714,0.000000,0.000000,0.000000,0.133333,0.200000,0.066667,0.200000,0.400000,0.75000000000000000000,0.30486111111111111111,0.31578947368421052632
1381,15,4,15,1,56,0.434081,0.000000,0.000000,0.066667,0.000000,0.200000,0.066667,0.133333,0.533333,1.00000000000000000000,0.20674603174603174603,0.42857142857142857143
1383,11,2,11,2,103,0.656952,0.000000,0.000000,0.181818,0.000000,0.090909,0.090909,0.272727,0.363636,0.66670000000000000000,0.25277777777777777778,0.87378640776699029126
1384,11,2,11,2,65,0.460861,0.000000,0.000000,0.181818,0.000000,0.090909,0.090909,0.272727,0.363636,0.66670000000000000000,0.25277777777777777778,0.89230769230769230769
1385,23,5,23,1,127,0.313636,0.000000,0.000000,0.043478,0.000000,0.130435,0.043478,0.130435,0.652174,1.00000000000000000000,0.19907006573673240340,0.55905511811023622047
1397,4,0,0,4,0,\N,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.25000000000000000000,0.00000000000000000000,0.00000000000000000000
1399,1,0,0,1,0,\N,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.00000000000000000000,0.00000000000000000000,0.00000000000000000000
1403,1,0,0,1,0,\N,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.00000000000000000000,0.00000000000000000000,0.00000000000000000000
